NUMBER,OUTTLET_ID,TERRITORY,DISTRICT,ROUTE,SALESMAN_ID,SALESMAN_ID,PEMBELIAN,STOK,RETUR,PACK DISPLAY,SKU,,,,,,,,,,
1,LP010101001,1,1,1,SPV001,TMC001,1464400,244800,82900,32,5,,,,,,,,,,
2,LP010101002,1,1,1,SPV001,TMC001,1380200,227000,32000,26,7,,,,,,,,,,
3,LP010101003,1,1,1,SPV001,TMC001,2783800,145500,66300,30,12,,,,,,,,,,
4,LP010101004,1,1,1,SPV001,TMC001,2677700,205500,55500,78,7,,,,,,,,,,
5,LP010101005,1,1,1,SPV001,TMC001,776800,232500,45100,65,3,,,,,,,,,,
6,LP010101006,1,1,1,SPV001,TMC001,2173200,193600,30500,49,11,,,,,,,,,,
7,LP010101007,1,1,1,SPV001,TMC001,2788000,173800,70900,55,9,,,,,,,,,,
8,LP010101008,1,1,1,SPV001,TMC001,2923800,111900,97600,97,14,,,,,,,,,,
9,LP010101009,1,1,1,SPV001,TMC001,1717200,289200,100300,93,4,,,,,,,,,,
10,LP010101010,1,1,1,SPV001,TMC001,1091100,265400,90300,50,8,,,,,,,,,,
11,LP010101011,1,1,1,SPV001,TMC001,2795500,229700,99600,26,6,,,,,,,,,,
12,LP010101012,1,1,1,SPV001,TMC001,1029700,256200,46000,86,10,,,,,,,,,,
13,LP010101013,1,1,1,SPV001,TMC001,2082600,157600,102700,72,8,,,,,,,,,,
14,LP010101014,1,1,1,SPV001,TMC001,2749000,296500,74900,73,6,,,,,,,,,,
15,LP010101015,1,1,1,SPV001,TMC001,2119700,262800,40700,45,3,,,,,,,,,,
16,LP010101016,1,1,1,SPV001,TMC001,2273500,142100,58000,36,10,,,,,,,,,,
17,LP010101017,1,1,1,SPV001,TMC001,1747300,233200,41700,100,11,,,,,,,,,,
18,LP010101018,1,1,1,SPV001,TMC001,2037500,278200,77800,69,9,,,,,,,,,,
19,LP010101019,1,1,1,SPV001,TMC001,2996900,231100,66500,66,4,,,,,,,,,,
20,LP010101020,1,1,1,SPV001,TMC001,992700,227500,52800,45,9,,,,,,,,,,
21,LP010101021,1,1,1,SPV001,TMC001,2727200,179600,61500,29,5,,,,,,,,,,
22,LP010101022,1,1,1,SPV001,TMC001,2449800,208600,71100,78,8,,,,,,,,,,
23,LP010101023,1,1,1,SPV001,TMC001,2426500,274800,37700,50,13,,,,,,,,,,
24,LP010101024,1,1,1,SPV001,TMC001,1324300,159000,52000,29,13,,,,,,,,,,
