NUMBER,OUTTLET_ID,OUTLET_NAME,REG_CODE,TERRITORY,DISTRICT,ROUTE,SALESMAN_ID,SALESMAN_ID,KABUPATEN,KECAMATAN,KELURAHAN,COVERAGE_STATUS,OWNER_NAME,OUTLET_TYPE,TYPE_KAWASAN,TIPE_BANGUNAN,POSISI,UNIT_DISPLAY,TIPE_SHOPBLIND
1,LP010101001,ADELIA,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,ADELIA,KIOS,PEMUKIMAN [PMK],Tidak Permanen,SEJAJAR JALAN,OUTLET,SMALL
2,LP010101002,AISAH,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,HATTA (HATA),Coverage,AISAH,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
3,LP010101003,ANSORI,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,ANSORI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
4,LP010101004,ARI,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,ARI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,BIG
5,LP010101005,ARMAWATI,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,ARMAWATI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,BELUM ADA,SMALL
6,LP010101006,COKRO,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,COKRO,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR,BIG
7,LP010101007,DEKI,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,DEKI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
8,LP010101008,DIA DIKA,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,HATTA (HATA),Coverage,DIA DIKA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
9,LP010101009,DIMAS,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,DIMAS,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
10,LP010101010,FAJAR,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,FAJAR,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,BIG
11,LP010101011,FERI,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,FERI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
12,LP010101012,HARAHAP,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,HATTA (HATA),Coverage,HARAHAP,TOKO,PEMUKIMAN [PMK],Semi-Permanen,SEJAJAR JALAN,BELUM ADA,BIG
13,LP010101013,HENDRO,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,HENDRO,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
14,LP010101014,HERMAN,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,BAKAUHENI,BAKAUHENI,Coverage,HERMAN,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,BIG
15,LP010101015,IDA,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,IDA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,BELUM ADA,SMALL
16,LP010101016,IMAM,LPG,1,1,1,SPV001,TMC001,LAMPUNG SELATAN,KETAPANG,SIDO LUHUR,Coverage,IMAM,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR,BIG
