,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
A1,9670,2697,3764,5262,8401,215,769,463,648,767,3,2,4,9,3,2,1,4,3,1
A2,3204,7212,7332,5592,1678,293,887,844,885,863,6,9,7,1,6,2,4,3,3,5
A3,2360,3737,8728,8370,1677,997,168,694,231,541,10,4,8,3,9,2,5,1,4,2
A4,6294,2660,4126,8833,7228,947,716,332,835,940,1,9,8,7,2,3,5,4,1,1
A5,8415,6771,1264,8658,8407,355,129,560,676,294,7,2,7,1,2,2,1,1,4,5
A6,3216,7899,5511,4509,6372,100,904,386,790,138,7,4,8,1,3,3,3,2,5,4
A7,6963,7368,9869,7459,7754,232,482,997,305,194,3,3,9,7,1,4,3,5,2,3
A8,9019,6643,3817,1419,7921,196,392,484,640,945,3,3,7,10,4,1,2,2,2,3
A9,3733,2794,9677,5114,1892,561,800,477,793,416,7,8,4,3,9,2,2,2,1,2
A10,2288,2222,5568,9379,6987,941,704,891,989,503,2,4,7,10,2,2,2,2,1,3
A11,1690,2980,9978,9952,7245,349,676,763,400,547,2,10,8,4,9,5,2,2,1,5
A12,3407,3343,8460,9939,8817,185,375,350,585,779,4,9,8,6,1,3,1,1,4,4
A13,9718,8190,5255,6707,3886,993,535,589,884,446,5,10,10,8,9,5,3,2,5,4
A14,4966,7624,4636,4501,3247,912,784,226,699,879,10,7,6,9,3,3,4,4,3,2
A15,2893,4505,3781,8267,1618,443,788,157,452,293,9,8,10,8,9,4,3,4,4,1
A16,2118,6283,1735,8733,7006,703,302,574,290,164,5,5,3,8,3,4,4,3,4,2
A17,2878,1975,8333,7897,9018,510,977,483,958,825,3,6,9,5,6,4,3,2,5,2
A18,3818,5020,9189,5670,9812,705,723,200,548,477,1,10,4,10,7,3,2,3,2,5
A19,4718,2407,6347,8917,1486,986,126,744,425,221,2,3,6,8,10,1,4,5,3,4
A20,4292,4760,7277,5230,6254,950,241,117,755,919,1,4,2,3,9,2,5,1,2,3
